Provincia,Total de viviendas particulares,Total de viviendas colectivas,Total de viviendas
Capital Federal,1638764,1946,1640710
Buenos Aires,6695273,6535,6701808
Catamarca,158989,449,159438
Chaco,401658,443,402101
Chubut,236010,1123,237133
Córdoba,1630356,3548,1633904
Corrientes,406480,555,407035
Entre Ríos,559398,1159,560557
Formosa,212941,232,213173
Jujuy,276222,326,276548
La Pampa,163805,437,164242
La Rioja,149910,272,150182
Mendoza,708354,1744,710098
Misiones,466850,652,467502
Neuquén,273685,392,274077
Río Negro,295502,910,296412
Salta,478433,766,479199
San Juan,265047,387,265434
San Luis,201271,339,201610
Santa Cruz,131395,486,131881
Santa Fe,1458652,1928,1460580
Santiago del Estero,348705,353,349058
Tierra del Fuego,67091,137,67228
Tucumán,555419,382,555801
