Año,Trimestre,Provincia,Fibra óptica,Wireless,Total de viviendas
2022,3,Buenos Aires,1436433.0,126846.0,6701808
2022,3,Capital Federal,129218.0,5758.0,1640710
2022,3,Catamarca,46224.0,1329.0,159438
2022,3,Chaco,44645.0,8178.0,402101
2022,3,Chubut,9574.0,29784.0,237133
2022,3,Córdoba,338570.0,61070.0,1633904
2022,3,Corrientes,18619.0,7256.0,407035
2022,3,Entre Ríos,36971.0,26098.0,560557
2022,3,Formosa,11041.0,16935.0,213173
2022,3,Jujuy,40172.0,4033.0,276548
2022,3,La Pampa,23551.0,20216.0,164242
2022,3,La Rioja,19697.0,6395.0,150182
2022,3,Mendoza,142615.0,27625.0,710098
2022,3,Misiones,39046.0,11074.0,467502
2022,3,Neuquén,29396.0,27482.0,274077
2022,3,Río Negro,41017.0,16760.0,296412
2022,3,Salta,50254.0,10082.0,479199
2022,3,San Juan,12328.0,21860.0,265434
2022,3,San Luis,248.0,70614.0,201610
2022,3,Santa Cruz,10815.0,3896.0,131881
2022,3,Santa Fe,215189.0,43079.0,1460580
2022,3,Tucumán,162345.0,3997.0,555801
